"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Mon May 04 20:53:44 UTC 2026","Mon May 04 20:55:14 UTC 2026","90589","tests","test_gate_05_aprovacoes","","","","test_realizar_aprovações_de_backend_em_massa_e_atualizar_status_da_proposta","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\admin\admin.feature: Realizar aprovações de back-end em massa e atualizar status da proposta"
"passed","Mon May 04 20:43:24 UTC 2026","Mon May 04 20:43:35 UTC 2026","11530","tests","test_gate_01_auth","","","","test_validar_a_liberação_de_acesso_ao_portal_do_integrador_login_com_sucesso","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\login\01_auth.feature: 1. Validar a liberação de acesso ao portal do Integrador (Login com sucesso)"
"passed","Mon May 04 20:36:24 UTC 2026","Mon May 04 20:37:04 UTC 2026","40239","tests.admin.customers","test_edit_both","","","","test_c03_editar_email_e_celular","../../../features/admin/customers/edit_both.feature: C03 - Submeter alteração simultânea de e-mail e celular para aprovação"
"passed","Mon May 04 20:45:27 UTC 2026","Mon May 04 20:47:39 UTC 2026","132098","tests","test_gate_04_documentacao","","","","test_realizar_upload_de_documentos_e_preenchimento_total_do_formulário[Local-conta.jpg-980-Bloco A-Sim-34661561-6-GERAR-GERAR-GERAR-1133334444]","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\documentacao\04_documentacao.feature: Realizar upload de documentos e preenchimento total do formulário"
"passed","Mon May 04 20:38:59 UTC 2026","Mon May 04 20:39:41 UTC 2026","41485","tests.admin.customers","test_edit_phone","","","","test_c07_celular_invalido","../../../features/admin/customers/edit_phone.feature: C07 - Tentar submeter alteração com celular incompleto ou inválido"
"passed","Mon May 04 20:42:37 UTC 2026","Mon May 04 20:43:23 UTC 2026","46604","tests.admin.customers","test_validation","","","","test_c08_campos_obrigatorios","../../../features/admin/customers/validation.feature: C08 - Tentar submeter formulário de edição limpando campos obrigatórios"
"broken","Mon May 04 20:55:14 UTC 2026","Mon May 04 20:56:43 UTC 2026","88386","tests","test_gate_06_assinatura","","","","test_finalizar_assinatura_eletrônica_da_proposta_via_backend","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\admin\assinatura.feature: Finalizar assinatura eletrônica da proposta via back-end"
"passed","Mon May 04 20:37:04 UTC 2026","Mon May 04 20:37:42 UTC 2026","38245","tests.admin.customers","test_edit_email","","","","test_c01_editar_email","../../../features/admin/customers/edit_email.feature: C01 - Submeter alteração exclusiva de e-mail para aprovação"
"passed","Mon May 04 20:38:17 UTC 2026","Mon May 04 20:38:59 UTC 2026","42085","tests.admin.customers","test_edit_phone","","","","test_c02_editar_celular","../../../features/admin/customers/edit_phone.feature: C02 - Submeter alteração exclusiva de celular para aprovação"
"skipped","Mon May 04 20:40:31 UTC 2026","Mon May 04 20:41:32 UTC 2026","61024","tests.admin.customers","test_history","","","","test_c10_propagacao_projetos","../../../features/admin/customers/history.feature: C10 - Validar propagação da alteração aprovada para os projetos do cliente"
"passed","Mon May 04 20:35:31 UTC 2026","Mon May 04 20:36:24 UTC 2026","52244","tests.admin.customers","test_approval","","","","test_c05_reprovar_solicitacao","../../../features/admin/customers/approval.feature: C05 - Reprovar uma solicitação de alteração de dados pendente"
"passed","Mon May 04 20:44:23 UTC 2026","Mon May 04 20:45:26 UTC 2026","62947","tests","test_gate_03_analise","","","","test_validar_preenchimento_completo_da_análise_de_crédito[COM SEGURO-Rafael Automacao-GERAR-GERAR-01310100]","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\analise_credito\03_analise_credito.feature: Validar preenchimento completo da análise de crédito"
"passed","Mon May 04 20:37:43 UTC 2026","Mon May 04 20:38:17 UTC 2026","34282","tests.admin.customers","test_edit_email","","","","test_c06_email_invalido","../../../features/admin/customers/edit_email.feature: C06 - Tentar submeter alteração com formato de e-mail inválido"
"passed","Mon May 04 20:41:32 UTC 2026","Mon May 04 20:42:36 UTC 2026","64306","tests.admin.customers","test_history","","","","test_c11_historico_auditoria","../../../features/admin/customers/history.feature: C11 - Validar o registro de histórico após a decisão da equipe de riscos"
"passed","Mon May 04 20:43:35 UTC 2026","Mon May 04 20:44:23 UTC 2026","47692","tests","test_gate_02_simulacao","","","","test_processar_simulação_inicial_com_diferentes_perfis_de_cliente[Sucesso - Din\xe2mico-GERAR-5000-50000-ALDO-1000-18]","C:\Users\rafae\Documents\PROJETOS\.Controle Groovetech\solagora-qa-automation-poc\features\simulacao\simulacao.feature: 1. Processar simulação inicial com diferentes perfis de cliente"
"passed","Mon May 04 20:39:41 UTC 2026","Mon May 04 20:40:31 UTC 2026","49580","tests.admin.customers","test_history","","","","test_c09_nomenclatura_status","../../../features/admin/customers/history.feature: C09 - Validar nomenclatura exata do status para pedidos em atendimento"
"passed","Mon May 04 20:52:36 UTC 2026","Mon May 04 20:53:43 UTC 2026","67025","tests.admin.customers","test_approval","","","","test_c04_aprovar_solicitacao","../../../features/admin/customers/approval.feature: C04 - Aprovar com sucesso uma solicitação de alteração de dados pendente"
